min_ratings,n_factors,n_epochs,trainset,average_error
1,5,8,"('random', 0.8)",1.4068616953453754
1,5,8,"('random', 0.7)",1.4018319301120725
1,5,8,"('random', 0.6)",1.3873031684115293
1,5,8,"('rows', 2)",1.310057073151205
1,5,8,"('rows', 4)",1.2097623286216852
1,5,8,"('rows', 6)",1.3905333501335022
1,5,8,"('cols', 2)",1.2267037237103817
1,5,8,"('cols', 4)",1.340000968468032
1,5,8,"('cols', 6)",1.3314209334618072
1,5,9,"('random', 0.9)",1.357087289046566
1,5,9,"('random', 0.8)",1.411180062565556
1,5,9,"('random', 0.7)",1.4076406060737359
1,5,9,"('random', 0.6)",1.3950528658302843
1,5,9,"('rows', 2)",1.3115141524990825
1,5,9,"('rows', 4)",1.2106871863387403
1,5,9,"('rows', 6)",1.3927337188214282
1,5,9,"('cols', 2)",1.227250740767101
1,5,9,"('cols', 4)",1.343047198292141
1,5,9,"('cols', 6)",1.3334955216515214
1,5,10,"('random', 0.9)",1.3656287853172218
1,5,10,"('random', 0.8)",1.4170257560748272
1,5,10,"('random', 0.7)",1.4140477204518447
1,5,10,"('random', 0.6)",1.4031842334099667
1,5,10,"('rows', 2)",1.3127511294229064
1,5,10,"('rows', 4)",1.2116513834640572
1,5,10,"('rows', 6)",1.3949725625689808
1,5,10,"('cols', 2)",1.2273903454831225
1,5,10,"('cols', 4)",1.3456462204754898
1,5,10,"('cols', 6)",1.3353319284175706
1,10,3,"('random', 0.9)",1.3315629282434251
1,10,3,"('random', 0.8)",1.3935955645978158
1,10,3,"('random', 0.7)",1.3714086859115078
1,10,3,"('random', 0.6)",1.354187170451631
1,10,3,"('rows', 2)",1.3057627990295109
1,10,3,"('rows', 4)",1.2155851493370051
1,10,3,"('rows', 6)",1.3884080825224734
1,10,3,"('cols', 2)",1.2223389429418774
1,10,3,"('cols', 4)",1.3175483705771536
1,10,3,"('cols', 6)",1.321294232898308
1,10,4,"('random', 0.9)",1.3299801627357921
1,10,4,"('random', 0.8)",1.3891442190220105
1,10,4,"('random', 0.7)",1.373108925653382
1,10,4,"('random', 0.6)",1.357520424173112
1,10,4,"('rows', 2)",1.3026292596901168
1,10,4,"('rows', 4)",1.2105222216071956
1,10,4,"('rows', 6)",1.385764042664868
1,10,4,"('cols', 2)",1.2246376654611477
1,10,4,"('cols', 4)",1.321029762833042
1,10,4,"('cols', 6)",1.3220969161217917
1,10,5,"('random', 0.9)",1.331226817338218
1,10,5,"('random', 0.8)",1.387600968389532
1,10,5,"('random', 0.7)",1.3768941046566174
1,10,5,"('random', 0.6)",1.3632252070276163
1,10,5,"('rows', 2)",1.301187132187738
1,10,5,"('rows', 4)",1.2078644746006277
1,10,5,"('rows', 6)",1.384970308260958
1,10,5,"('cols', 2)",1.2274240227565147
1,10,5,"('cols', 4)",1.3249449306559447
1,10,5,"('cols', 6)",1.3237947812944342
1,10,6,"('random', 0.9)",1.3339709953409093
1,10,6,"('random', 0.8)",1.3878556266581434
1,10,6,"('random', 0.7)",1.3817902859822067
1,10,6,"('random', 0.6)",1.3703941187920874
1,10,6,"('rows', 2)",1.300577352400185
1,10,6,"('rows', 4)",1.2066317858639346
1,10,6,"('rows', 6)",1.3853134182674367
1,10,6,"('cols', 2)",1.230182025043025
1,10,6,"('cols', 4)",1.3288193327010411
1,10,6,"('cols', 6)",1.325875839415234
1,10,7,"('random', 0.9)",1.3376465269604043
1,10,7,"('random', 0.8)",1.3892948773376697
1,10,7,"('random', 0.7)",1.3871871146847141
1,10,7,"('random', 0.6)",1.3784213939392236
1,10,7,"('rows', 2)",1.3003287941075954
1,10,7,"('rows', 4)",1.2061993739705785
1,10,7,"('rows', 6)",1.3863061407564394
1,10,7,"('cols', 2)",1.2326593398114278
1,10,7,"('cols', 4)",1.3323957833300695
1,10,7,"('cols', 6)",1.328012894274069
1,10,8,"('random', 0.9)",1.3423380635533597
1,10,8,"('random', 0.8)",1.3917893390601306
1,10,8,"('random', 0.7)",1.3927715131215122
1,10,8,"('random', 0.6)",1.3869619751198579
1,10,8,"('rows', 2)",1.3002077913668668
1,10,8,"('rows', 4)",1.2061870460300028
1,10,8,"('rows', 6)",1.3876228710975838
1,10,8,"('cols', 2)",1.2347476432116873
1,10,8,"('cols', 4)",1.3355485087831147
1,10,8,"('cols', 6)",1.330001692906555
1,10,9,"('random', 0.9)",1.348640562319682
1,10,9,"('random', 0.8)",1.3957120096576852
1,10,9,"('random', 0.7)",1.398275189491823
1,10,9,"('random', 0.6)",1.3959174595681452
1,10,9,"('rows', 2)",1.3001192724820163
1,10,9,"('rows', 4)",1.2063776958307597
1,10,9,"('rows', 6)",1.3890503544463746
1,10,9,"('cols', 2)",1.236409432277982
1,10,9,"('cols', 4)",1.3382300287166282
1,10,9,"('cols', 6)",1.3317207706544123
1,10,10,"('random', 0.9)",1.3574334337321108
1,10,10,"('random', 0.8)",1.4019206339904533
1,10,10,"('random', 0.7)",1.4038970605816707
1,10,10,"('random', 0.6)",1.4054255863189429
1,10,10,"('rows', 2)",1.30004421248865
1,10,10,"('rows', 4)",1.2066579010353256
1,10,10,"('rows', 6)",1.3904528464643813
1,10,10,"('cols', 2)",1.237637451677773
1,10,10,"('cols', 4)",1.3404383628911118
1,10,10,"('cols', 6)",1.3331060783392221
1,20,3,"('random', 0.9)",1.3501209868266855
1,20,3,"('random', 0.8)",1.4001387451548857
1,20,3,"('random', 0.7)",1.3835740915994872
1,20,3,"('random', 0.6)",1.3654751267156644
1,20,3,"('rows', 2)",1.3074956830148652
1,20,3,"('rows', 4)",1.2175617666166707
1,20,3,"('rows', 6)",1.389262080310824
1,20,3,"('cols', 2)",1.2201124223590687
1,20,3,"('cols', 4)",1.3181277357105021
1,20,3,"('cols', 6)",1.3223605809233658
1,20,4,"('random', 0.9)",1.3527751690988241
1,20,4,"('random', 0.8)",1.3969290845674527
1,20,4,"('random', 0.7)",1.3859331082279904
1,20,4,"('random', 0.6)",1.369686043989166
1,20,4,"('rows', 2)",1.3046550826878227
1,20,4,"('rows', 4)",1.2127802806542023
1,20,4,"('rows', 6)",1.3867268687137184
1,20,4,"('cols', 2)",1.2219954965133197
1,20,4,"('cols', 4)",1.3209189852701917
1,20,4,"('cols', 6)",1.3231045429941846
1,20,5,"('random', 0.9)",1.35918762530222
1,20,5,"('random', 0.8)",1.3975487812521283
1,20,5,"('random', 0.7)",1.3904566899977926
1,20,5,"('random', 0.6)",1.3765375163201374
1,20,5,"('rows', 2)",1.3033301010395257
1,20,5,"('rows', 4)",1.2101423155966016
1,20,5,"('rows', 6)",1.3858117798927851
1,20,5,"('cols', 2)",1.2243209889940037
1,20,5,"('cols', 4)",1.3238585809690815
1,20,5,"('cols', 6)",1.3245698063623395
1,20,6,"('random', 0.9)",1.36850573127933
1,20,6,"('random', 0.8)",1.4014427980692339
1,20,6,"('random', 0.7)",1.3963784045563419
1,20,6,"('random', 0.6)",1.3851636193401766
1,20,6,"('rows', 2)",1.3027163122913799
1,20,6,"('rows', 4)",1.2087187071087342
1,20,6,"('rows', 6)",1.3858042264947683
1,20,6,"('cols', 2)",1.22651706752955
1,20,6,"('cols', 4)",1.3265540636587805
1,20,6,"('cols', 6)",1.3262709437400522
1,20,7,"('random', 0.9)",1.3808521049318276
1,20,7,"('random', 0.8)",1.4087865013857483
1,20,7,"('random', 0.7)",1.4035069026505147
1,20,7,"('random', 0.6)",1.3951244455603742
1,20,7,"('rows', 2)",1.3023885818456746
