min_ratings,n_factors,n_epochs,trainset,average_error
1,10,10,"('random', 0.8)",1.4019206339904533
1,10,10,"('random', 0.7)",1.4038970605816707
1,10,10,"('random', 0.6)",1.4054255863189429
1,10,10,"('rows', 2)",1.30004421248865
1,10,10,"('rows', 4)",1.2066579010353256
1,10,10,"('rows', 6)",1.3904528464643813
1,10,10,"('cols', 2)",1.237637451677773
1,10,10,"('cols', 4)",1.3404383628911118
1,10,10,"('cols', 6)",1.3331060783392221
1,10,15,"('random', 0.9)",1.449251086813468
1,10,15,"('random', 0.8)",1.4785959754151143
1,10,15,"('random', 0.7)",1.45040189509555
1,10,15,"('random', 0.6)",1.4687184351189713
1,10,15,"('rows', 2)",1.3006844812565113
1,10,15,"('rows', 4)",1.2082581878865257
1,10,15,"('rows', 6)",1.3954081371898173
1,10,15,"('cols', 2)",1.2380655741829851
1,10,15,"('cols', 4)",1.3456000919016382
1,10,15,"('cols', 6)",1.3352311851301002
1,10,20,"('random', 0.9)",1.5215385526501313
1,10,20,"('random', 0.8)",1.5362349695561566
1,10,20,"('random', 0.7)",1.5119541310150808
1,10,20,"('random', 0.6)",1.5303513971327136
1,10,20,"('rows', 2)",1.3036278213200487
1,10,20,"('rows', 4)",1.209407228760331
1,10,20,"('rows', 6)",1.3973131127145078
1,10,20,"('cols', 2)",1.2353184491432707
1,10,20,"('cols', 4)",1.344989173835816
1,10,20,"('cols', 6)",1.333632488995266
1,10,25,"('random', 0.9)",1.5474216192150607
1,10,25,"('random', 0.8)",1.5630341939912225
1,10,25,"('random', 0.7)",1.550532536471412
1,10,25,"('random', 0.6)",1.5823314808687483
1,10,25,"('rows', 2)",1.3074325952335533
1,10,25,"('rows', 4)",1.2109455198291728
1,10,25,"('rows', 6)",1.3984263944128432
1,10,25,"('cols', 2)",1.2348768509008465
1,10,25,"('cols', 4)",1.342092953608893
1,10,25,"('cols', 6)",1.3320805973039926
1,10,30,"('random', 0.9)",1.5790855304989895
1,10,30,"('random', 0.8)",1.5854503870500958
1,10,30,"('random', 0.7)",1.5756448495133242
1,10,30,"('random', 0.6)",1.6210331052661193
1,10,30,"('rows', 2)",1.3110717959138665
1,10,30,"('rows', 4)",1.2133248267551286
1,10,30,"('rows', 6)",1.3995843393679195
1,10,30,"('cols', 2)",1.2356595937828214
1,10,30,"('cols', 4)",1.33895213322118
1,10,30,"('cols', 6)",1.3310238791964601
1,20,5,"('random', 0.9)",1.35918762530222
1,20,5,"('random', 0.8)",1.3975487812521283
1,20,5,"('random', 0.7)",1.3904566899977926
1,20,5,"('random', 0.6)",1.3765375163201374
1,20,5,"('rows', 2)",1.3033301010395257
1,20,5,"('rows', 4)",1.2101423155966016
